"lat","lon","road_sign_record_id"
"42.79687549448131","23.14308066371952",2556076
"42.789327198173766","23.15548383551251",2556081
"42.80348737271486","23.13180939007414",2587051
"42.784188150905955","23.165958048969635",2763299
"42.80360943160846","23.13156960849415",2763336
"42.81159963433934","23.117343941000325",2763353
"42.78454188245951","23.167855089479797",2805889
"42.78835605088081","23.169719608494137",2805892
"42.812546","23.115625",2806196
"42.81166802857162","23.117038996225695",2806198
"42.778437974875615","23.17608146249614",2806210
"42.82433572229927","23.100753072283148",2822997
"42.81771494796066","23.10746937535892",2823007
"42.81711909401286","23.108228057567935",2823009
"42.81490498511334","23.111418150822054",2823010
"42.81386201068947","23.113227739776974",2823011
"42.81386004311354","23.113227739776974",2823013
"42.81240471579991","23.115745263615374",2823014
"42.812119","23.116375",2823017
"42.811367","23.117701",2823019
"42.804913","23.129114",2823024
"42.80393004591261","23.130861348271118",2823026
"42.80390052752781","23.130837208389984",2823027
"42.79687126716899","23.143071937226033",2823029
"42.792614","23.149929",2823036
"42.78544482888696","23.16324406850887",2823045
"42.7849942065061","23.16413830164409",2823046
"42.77940673104006","23.174387348271118",2823051
"42.779155508943994","23.17487665746376",2823054
"42.77569234874009","23.18232537535893",3611016
"42.811293650735585","23.11789628210486",3611382
"42.817916699906434","23.107219999999998",3647575
"42.81773","23.107494",3647578
"42.8171147156223","23.108231317790988",3647589
"42.81385013486894","23.11318461226845",3647598
"42.81132316440068","23.117663023313536",3647605
"42.81132513205732","23.11766034110452",3647606
"42.804865514214534","23.129143705522527",3647609
"42.80487978740864","23.129131597553258",3647610
"42.78933772782954","23.155498854002",3647620
"42.78545722935279","23.163251574239748",3647624
"42.77942172317525","23.174408008598327",3647633
"42.779606830389504","23.174115294477463",3647634
"42.779159221542876","23.17486648098562",3647638
"42.77614429587217","23.180859349702814",3647650
"42.775602624158815","23.18231982209016",3647657
"42.74471757429949","23.173215347221387",3957433
"42.75856","23.1208",3957539
"42.75736380092218","23.081497836805347",3957718
"42.757466229732884","23.078713118529535",3957727
"42.7574341837799","23.07752042576027",3957729
"42.76523749052457","23.05473140244676",3957805
"42.76531015440139","23.05080912268446",3957823
"42.76488558647728","23.049483921461103",3957826
"42.75782845964195","23.043455105487816",3957862
"42.7578211685325","23.04344622453688",3957863
"42.75770628001382","23.035867341104524",3957872
"42.759933122837374","23.026341495700844",3957894
"42.758274","23.023602",3957900
"42.758388183961834","23.02031586011887",3957905
"42.76444141381359","22.994896152114872",3957926
"42.765274","22.989775",3957927
"42.764066986931596","22.981453279762277",3957942
"42.761909","22.978712",3957949
"42.76190506154393","22.978674449073804",3957950
"42.76145170743871","22.978165906745915",3957951
"42.76087333813393","22.9779291312828",3957953
"42.75728027562671","22.9760112245369",3957954
"42.754631","22.973518",3957955
"42.754631","22.973518",3957956
"42.8179125300593","23.107241101852424",4280361
"42.775688563065486","23.182300008598315",5330074
"42.768467","23.192823",5330247
"42.76292846093221","23.198341308038728",5330327
"42.762711","23.197979",5330332
"42.762686908531215","23.197918370534907",5330338
"42.74398168287916","23.170132696924203",5330575
"42.74313070685991","23.162739262565623",5330660
"42.745319","23.161867",5330852
"42.75783715321379","23.12220962698365",5331331
"42.78242511465875","23.16934986011886",5841900
"42.77586","23.181736",6465758
"42.77581390523326","23.181755602270776",6465771
"42.774357","23.186104",6465777
"42.77428938045217","23.186215489583955",6465778
"42.774298990870214","23.186232784061445",6465779
"42.774326","23.186169",6465780
"42.7742007384704","23.186510572941064",6465781
"42.774197","23.186594",6465787
"42.77628769587153","23.180784411045057",6465808
"42.803803467003064","23.131203988206263",6465874
"42.804452302947254","23.129886796148917",6465876
"42.82863512925907","23.09671032326044",6667355
"42.77961017732335","23.174097001953808",6667410
"42.8124188942316","23.115729416675812",7433429
"42.81158763087104","23.117378766378625",7433439
"42.81133156295307","23.11766460965076",7433444
"42.782699848712944","23.1686215479586",7433678
"42.77596598342538","23.181344116692085",7433766
"42.77566978025585","23.182116066972984",7433774
"42.78264933995521","23.16869781664109",7435566
"42.791515","23.151592",7435708
"42.80410569666778","23.130715929614404",7435934
"42.81086478986444","23.118682865749598",7435957
"42.81523840432268","23.111049585109942",7436007
"42.816287042477384","23.109335743714382",7436024
"42.816570539306156","23.109382189657435",7545895
"42.81631240797512","23.109322933208727",7545900
"42.81630530356947","23.109337562673804",7545930
"42.81578662798463","23.110080446106174",7545940
"42.77960039646017","23.174091469419736",7546270
"42.7791666376873","23.17484983797721",7546275
"42.77294791105738","23.19095630755259",7546394
"42.77294814073734","23.190948927091828",7546397
"42.762548239167344","23.199250530761958",7630749
"42.762600316084225","23.1991799884341",7630753
"42.7626025316263","23.199168740583648",7630754
"42.762745","23.198875",7630764
"42.76328314584698","23.19805660070254",7630776
"42.775238","23.181643",7631252
"42.784206","23.166061",7631668
"42.78458039369544","23.167879363931885",7631700
"42.79498087098877","23.174943594585645",7631935
"42.800933169503296","23.181264594585667",7632083
"42.81491625365184","23.11139325959801",7772550
"42.81159123469295","23.117205562673806",7772590
"42.77512793962886","23.183704655927887",7773058
"42.774820970643574","23.184696749181995",7773062
"42.77469993084385","23.185388720905554",7851050
"42.775500811302685","23.182870911577485",7851064
"42.783414142148","23.16748858112297",7851155
"42.79491166568657","23.14660111002819",7851214
"42.826424933901656","23.098927731985313",7851609
"42.833313946223875","23.09261306666176",7851650
"42.817142","23.108257",7905069
"42.78431655866133","23.165457588468797",7905374
"42.784311126083814","23.165471168825395",7905378
"42.784342936753106","23.165440422429327",7905380
"42.78272842356504","23.165996688103288",7905440
